Seed Variety,Average Price per Kilo (PHP),Grain Length (mm),Grain Shape,Amylose content (percent),Gelatinization temperature (C),Crude protein,Instron cooked rice hardness,Raw Aroma,Raw Color,Raw Gloss,Raw Translucency,Raw Hardness,Cooked Aroma (freshly cooked),Cooked Aroma (staled),Cooked Color,Cooked Gloss,Cooked Cohesiveness,Cooked Tenderness,Cooked Smoothness,Cooked Taste,Average yield (t/ha),Maximum yield (t/ha),Maturity (days),Height (cm),Milling Recovery (percent),Reaction to Blast,Reaction to Bacterial Leaf Blight (BLB),Reaction to Tungro,Reaction to Brown Planthopper (BPH),Reaction to Green Leafhopper (GLH),Reaction to Stem Borer
NSIC RC 492H (Mestiso 83),444.08,7,Intermediate,18.2,73.2,7.8,1.77,,White,Glossy,Translucent,Slightly Hard,Pleasant,Slightly Off-odor,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Tasty,6.2,9.2,115,102,67.5,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 494H (Mestiso 84),499.09,6.7,Slender,23.3,70.6,7.3,1.97,,White,Glossy,Slightly Chalky,Slightly Hard,Pleasant,,White,Glossy,Cohesive,Tender,Smooth,Slightly Tasty,5.8,8.6,105,95,68.7,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 496H (Mestiso 85),507.76,6.5,Slender,20.3,72.5,8.5,2.15,,White,Slightly Glossy,Slightly Chalky,Slightly Hard,Bland,Slightly Off-odor,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Bland,6.1,9,119,100,66.1,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 498H (Mestiso 86),441.66,6.7,Slender,18.8,72.5,8.2,2.4,,White,Slightly Glossy,Chalky,Hard,Bland,,White,Glossy,Separated,Slightly Tender,Smooth,Slightly Tasty,7.1,9.6,110,112,65,Intermediate,Susceptible,Intermediate,Susceptible,Resistant,Susceptible
NSIC RC 500H (Mestiso 87),491.21,6.7,Slender,21.4,68.6,6.9,1.55,Aromatic,White,Glossy,Translucent,Slightly Hard,Pleasant,,White,Glossy,Separated,Tender,Slightly Smooth,Tasty,6.4,10.9,116,97,66,Resistant,Resistant,Intermediate,Intermediate,Resistant,Intermediate
NSIC RC 502H (Mestiso 88),462.65,7.1,Intermediate,23,73.4,8.8,2.54,Slightly Aromatic,White,Slightly Glossy,Slightly Chalky,Slightly Hard,Bland,,White,Glossy,Cohesive,Tender,Smooth,Slightly Tasty,6.2,10.2,116,102,70.5,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 504H (Mestiso 89),504.52,7,Intermediate,19.4,71,8.6,2.32,Aromatic,White,Dull,Chalky,Hard,Pleasant,,White,Slightly Glossy,Separated,Tender,Smooth,Slightly Tasty,6.6,10.2,108,95,70.4,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate
NSIC RC 516H (Mestiso 90),457.44,7.3,Slender,22,73,8.9,1.61,,White,Slightly Glossy,Chalky,Slightly Hard,Pleasant,,White,Glossy,Slightly Cohesive,Tender,Slightly Smooth,Slightly Tasty,5.8,8.5,110,96,68.3,Resistant,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible
NSIC RC 518H (Mestiso 91),509.09,6.9,Slender,18.6,69.9,8.3,2.64,Slightly Aromatic,White,Slightly Glossy,Translucent,Hard,Pleasant,Slightly Off-odor,White,Glossy,Separated,Tender,Smooth,Tasty,6.6,9.9,121,111,69,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate
NSIC RC 520H (Mestiso 92),478.67,6.5,Slender,18.3,73.4,8,2.7,Aromatic,White,Dull,Translucent,Hard,Pleasant,Slightly Off-odor,White,Slightly Glossy,Cohesive,Tender,Slightly Smooth,Slightly Tasty,6.1,9.8,112,113,65.1,Intermediate,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible
NSIC RC 522H (Mestiso 93),533.67,7.1,Intermediate,21.5,70.3,7.5,1.58,,White,Dull,Translucent,Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,6.5,8.6,111,95,70.7,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate
NSIC RC 524H (Mestiso 94),453.75,7.2,Intermediate,21.5,68.1,8.8,1.86,,White,Glossy,Translucent,Hard,Bland,Slightly Off-odor,White,Glossy,Cohesive,Slightly Tender,Slightly Smooth,Bland,5.6,8.8,122,101,69.3,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 526H (Mestiso 95),474.11,7,Intermediate,22.1,73.4,8.7,2.55,Slightly Aromatic,White,Glossy,Translucent,Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Tasty,6.8,11.2,124,112,65,Resistant,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate
NSIC RC 542H (Mestiso 98),451.35,7.2,Intermediate,22.7,68.5,6.6,2.47,,White,Dull,Slightly Chalky,Hard,Bland,,White,Glossy,Separated,Tender,Smooth,Slightly Tasty,7.2,11.3,117,100,69.2,Resistant,Intermediate,Susceptible,Intermediate,Resistant,Intermediate
NSIC RC 544H (Mestiso 99),532.47,6.9,Slender,24.3,69.9,6.6,1.74,Slightly Aromatic,White,Dull,Slightly Chalky,Hard,Bland,,White,Slightly Glossy,Cohesive,Tender,Smooth,Tasty,6.6,11,117,113,66.1,Intermediate,Intermediate,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 546H (Mestiso 100),527.73,6.9,Slender,21.4,73.7,7.4,1.77,,White,Glossy,Translucent,Hard,Pleasant,,White,Slightly Glossy,Cohesive,Tender,Slightly Smooth,Slightly Tasty,6.9,9.2,111,114,70.3,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 548H (Mestiso 101),465.79,6.8,Slender,20.1,73.7,8.5,1.98,Slightly Aromatic,White,Slightly Glossy,Slightly Chalky,Slightly Hard,Pleasant,Slightly Off-odor,White,Glossy,Slightly Cohesive,Tender,Smooth,Slightly Tasty,5.6,8.4,105,104,70.9,Intermediate,Resistant,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 550H (Mestiso 102),506,6.4,Intermediate,23.2,71.4,9,2.13,,White,Dull,Translucent,Slightly Hard,Pleasant,Slightly Off-odor,Creamy White,Slightly Glossy,Cohesive,Tender,Smooth,Slightly Tasty,6,8,107,100,66.8,Resistant,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 552H (Mestiso 103),521.72,6.5,Slender,19.8,71.8,6.9,2.3,,White,Glossy,Slightly Chalky,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Bland,6.4,10.9,119,104,69,Resistant,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 586H (MESTISO 104),495.52,6.4,Slender,20.9,70.7,8,1.98,,White,Slightly Glossy,Chalky,Slightly Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Smooth,Bland,5.6,9.6,115,110,67.1,Resistant,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 588H (MESTISO 105),492.97,7,Slender,18.5,69.8,7.5,2.1,Slightly Aromatic,White,Dull,Translucent,Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Bland,5.7,8.2,121,103,69.5,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible
NSIC RC 614H (MESTISO 106),464.19,6.7,Slender,18.2,70,8.9,2.47,Slightly Aromatic,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Tasty,6.3,10.6,122,97,70.2,Intermediate,Susceptible,Intermediate,Susceptible,Resistant,Susceptible
NSIC RC 616H (MESTISO 107),449.31,6.9,Slender,24.3,72,8.6,1.55,,White,Glossy,Slightly Chalky,Hard,Bland,Slightly Off-odor,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Tasty,7,10.9,112,101,68.1,Intermediate,Susceptible,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 618H (MESTISO 108),529.72,7.3,Slender,23.4,72.5,8.6,1.83,,White,Dull,Translucent,Slightly Hard,Bland,,Creamy White,Glossy,Slightly Cohesive,Tender,Smooth,Bland,7.3,10.1,105,109,64.1,Susceptible,Intermediate,Intermediate,Intermediate,Resistant,Susceptible
